㘬 ㄅㄧˋ
㘭 ㄠ
㘯 ㄔㄤˇ
㘰 ㄓㄣ
㘱 ㄊㄢ
㘲 ㄐㄩˊ
㘳 ㄑㄧㄡ
㘴 ㄗㄨㄛˋ
㘵 ㄅㄨˋ
㘶 ㄐㄧㄝˊ
㘷 ㄞˋ
㘸 ㄗㄤˋ
㘹 ㄐㄧˊ
㘺 ㄈㄚˊ
㘻 ㄧㄣ
㘽 ㄓˋ
㘿 ㄋㄧㄝˋ
㙀 ㄐㄧㄡˋ
㙁 ㄇㄟˊ
㙂 ㄉㄨㄟˋ
㙃 ㄅㄤ
㙄 ㄅㄧˋ
㙅 ㄅㄠˇ
㙇 ㄔㄨˋ
㙈 ㄒㄧㄚˋ
㙉 ㄊㄧㄢˇ
㙊 ㄓㄤˋ
㙋 ㄑㄧˊ
㙌 ㄙㄨˋ
㙍 ㄉㄨㄛ
㙎 ㄨㄟ
㙏 ㄈㄨˋ
㙐 ㄉㄨㄛˇ
㙑 ㄩˇ
㙒 ㄧㄝˇ
㙓 ㄎㄨㄟˊ
㙔 ㄏㄢˊ
㙕 ㄎㄨㄞˋ
㙗 ㄨㄟ
㙘 ㄧㄠ
㙙 ㄇㄥˇ
㙚 ㄒㄧㄥ
㙛 ㄅㄨˇ
㙜 ㄊㄞˊ
㙝 ㄒㄧㄝˊ
㙞 ㄋㄧㄝˋ
㙟 ㄌㄤˇ
㙠 ㄧ
㙡 ㄗㄨㄥ
㙢 ㄇㄢˊ
㙣 ㄓㄤˋ
㙤 ㄒㄧㄚˋ
㙥 ㄍㄨㄣˋ
㙦 ㄒㄧㄝˊ
㙧 ㄌㄧㄡˋ
㙨 ㄑㄧˊ
㙩 ㄌㄧㄠˊ
㙪 ㄧˋ
㙫 ㄐㄧˊ
㙬 ㄧㄣˊ
㙭 ㄐㄩㄝˊ
㙮 ㄉㄚ
㙯 ㄧˋ
㙰 ㄒㄧㄝˋ
㙱 ㄏㄠˋ
㙲 ㄩㄥ
㙳 ㄏㄢˇ
㙴 ㄔㄢˋ
㙵 ㄊㄞˊ
㙶 ㄊㄤˊ
㙷 ㄓˊ
㙸 ㄆㄨˊ
㙹 ㄇㄥˊ
㙺 ㄍㄨㄟˋ
㙻 ㄔㄢˊ
㙼 ㄌㄩˋ
㙾 ㄏㄨˊ
㚀 ㄒㄧ
㚁 ㄑㄧㄠˋ
㚂 ㄋㄤˋ
㚃 ㄩㄣ
㚄 ㄉㄧˋ
㚅 ㄌㄨㄥˊ
㚆 ㄅㄧˋ
㚇 ㄗㄨㄥ
㚉 ㄍㄨˇ
㚊 ㄎㄞ
㚋 ㄉㄧㄠ
㚌 ㄏㄨㄛˇ
㚍 ㄎㄨㄟˇ
㚎 ㄑㄩˋ
㚏 ㄍㄠˇ
㚐 ㄊㄠˋ
㚒 ㄕㄢˇ
㚓 ㄌㄞˇ
㚔 ㄋㄧㄝˋ
㚕 ㄅㄧˋ
㚖 ㄍㄠˇ
㚗 ㄑㄧㄝˊ
㚘 ㄅㄢˋ
㚙 ㄐㄧㄚ
㚚 ㄎㄨㄥ
㚜 ㄩˋ
㚝 ㄎㄨㄟ
㚞 ㄕㄣˇ
㚟 ㄔㄨㄛˋ
㚠 ㄒㄧㄠ
㚡 ㄐㄧˇ
㚢 ㄨˇ
㚣 ㄐㄧㄠ
㚤 ㄧˋ
㚥 ㄩˊ
㚦 ㄐㄧ
㚧 ㄧㄢˇ
㚨 ㄕㄣ
㚩 ㄖㄢˇ
㚪 ㄏㄠˋ
㚫 ㄙㄚˋ
㚬 ㄐㄩㄣ
㚭 ㄧㄡˊ
㚮 ㄉㄢ
㚯 ㄒㄩㄣˊ
㚰 ㄅㄧˇ
㚱 ㄑㄧㄡ
㚲 ㄉㄧㄢˇ
㚳 ㄜ
㚴 ㄆㄨˋ
㚵 ㄉㄨㄥ
㚶 ㄙˋ
㚷 ㄋㄞˇ
㚸 ㄙ
㚹 ㄇㄧㄠˊ
㚺 ㄩㄣˋ
㚻 ㄐㄧ
㚼 ㄏㄠˇ
㚽 ㄑㄧㄠˇ
㚾 ㄒㄩㄥ
㚿 ㄆㄠˊ
㛀 ㄔㄨˊ
㛁 ㄆㄥ
㛂 ㄋㄨㄛˇ
㛃 ㄐㄧㄝˊ
㛄 ㄧ
㛅 ㄦˋ
㛆 ㄉㄨㄛˇ
㛉 ㄒㄧˇ
㛊 ㄉㄨㄛˇ
㛍 ㄑㄧㄝˋ
㛎 ㄌㄩˇ
㛏 ㄑㄧㄡˊ
㛐 ㄙㄠˇ
㛑 ㄘㄢˋ
㛒 ㄉㄡˋ
㛓 ㄒㄧ
㛔 ㄈㄥ
㛕 ㄜˋ
㛖 ㄙㄨㄛ
㛗 ㄑㄧㄝ
㛘 ㄆㄛˋ
㛙 ㄒㄧㄣ
㛚 ㄩㄥˇ
㛛 ㄓㄣˋ
㛜 ㄧㄡˊ
㛝 ㄅㄟˋ
㛞 ㄌㄨㄥˋ
㛠 ㄒㄧㄢˊ
㛡 ㄨㄢˊ
㛢 ㄒㄧㄡˋ
㛣 ㄩㄣˊ
㛤 ㄌㄧˋ
㛥 ㄊㄚˋ
㛦 ㄌㄢˇ
㛧 ㄇㄢˇ
㛨 ㄑㄧㄤˇ
㛩 ㄓㄡˊ
㛪 ㄧㄢ
㛫 ㄒㄧˊ
㛬 ㄌㄨˋ
㛭 ㄒㄧˊ
㛮 ㄙㄠˇ
㛯 ㄓㄨㄢˋ
㛰 ㄏㄨㄣ
㛱 ㄨㄟ
㛲 ㄈㄚˇ
㛳 ㄧˋ
㛴 ㄋㄠˇ
㛵 ㄔㄥ
㛶 ㄊㄢˋ
㛷 ㄐㄧ
㛸 ㄕㄨˋ
㛹 ㄆㄧㄢˊ
㛺 ㄤ
㛻 ㄎㄨㄚ
㛼 ㄕㄚˋ
㛽 ㄕㄢ
㛾 ㄒㄧㄢˊ
㛿 ㄓˋ
㜁 ㄓㄚ
㜂 ㄈㄥ
㜃 ㄌㄧㄢˋ
㜄 ㄒㄧㄣˊ
㜅 ㄒㄩˋ
㜆 ㄇㄧˋ
㜇 ㄏㄨㄟˋ
